Num_Features,k,F1_Validation
82,1,0.050413022351797857
82,3,0.050413022351797857
82,5,0.050413022351797857
82,7,0.050413022351797857
82,9,0.050413022351797857
82,11,0.050413022351797857
82,13,0.050413022351797857
82,15,0.050413022351797857
83,1,0.050413022351797857
83,3,0.050413022351797857
83,5,0.050413022351797857
83,7,0.050413022351797857
83,9,0.050413022351797857
83,11,0.050413022351797857
83,13,0.050413022351797857
83,15,0.050413022351797857
84,1,0.050413022351797857
84,3,0.050413022351797857
84,5,0.050413022351797857
84,7,0.050413022351797857
84,9,0.050413022351797857
84,11,0.050413022351797857
84,13,0.050413022351797857
84,15,0.050413022351797857
85,1,0.050413022351797857
85,3,0.050413022351797857
85,5,0.050413022351797857
85,7,0.050413022351797857
85,9,0.050413022351797857
85,11,0.050413022351797857
85,13,0.050413022351797857
85,15,0.050413022351797857
86,1,0.050413022351797857
86,3,0.050413022351797857
86,5,0.050413022351797857
86,7,0.050413022351797857
86,9,0.050413022351797857
86,11,0.050413022351797857
86,13,0.050413022351797857
86,15,0.050413022351797857
87,1,0.050413022351797857
87,3,0.050413022351797857
87,5,0.050413022351797857
87,7,0.050413022351797857
87,9,0.050413022351797857
87,11,0.050413022351797857
87,13,0.050413022351797857
87,15,0.050413022351797857
88,1,0.050413022351797857
88,3,0.050413022351797857
88,5,0.050413022351797857
88,7,0.050413022351797857
88,9,0.050413022351797857
88,11,0.050413022351797857
88,13,0.050413022351797857
88,15,0.050413022351797857
89,1,0.050413022351797857
89,3,0.050413022351797857
89,5,0.050413022351797857
89,7,0.050413022351797857
89,9,0.050413022351797857
89,11,0.050413022351797857
89,13,0.050413022351797857
89,15,0.050413022351797857
90,1,0.050413022351797857
90,3,0.050413022351797857
90,5,0.050413022351797857
90,7,0.050413022351797857
90,9,0.050413022351797857
90,11,0.050413022351797857
90,13,0.050413022351797857
90,15,0.050413022351797857
91,1,0.050413022351797857
91,3,0.050413022351797857
91,5,0.050413022351797857
91,7,0.050413022351797857
91,9,0.050413022351797857
91,11,0.050413022351797857
91,13,0.050413022351797857
91,15,0.050413022351797857
92,1,0.050413022351797857
92,3,0.050413022351797857
92,5,0.050413022351797857
92,7,0.050413022351797857
92,9,0.050413022351797857
92,11,0.050413022351797857
92,13,0.050413022351797857
92,15,0.050413022351797857
93,1,0.050413022351797857
93,3,0.050413022351797857
93,5,0.050413022351797857
93,7,0.050413022351797857
93,9,0.050413022351797857
93,11,0.050413022351797857
93,13,0.050413022351797857
93,15,0.050413022351797857
94,1,0.050413022351797857
94,3,0.050413022351797857
94,5,0.050413022351797857
94,7,0.050413022351797857
94,9,0.050413022351797857
94,11,0.050413022351797857
